Kelompok Bank,,,,,,,,,,,,,
,Suku Bunga Kredit Rupiah Menurut Kelompok Bank,,,,,,,,,,,,
,2014,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bank Persero - Modal Kerja,12.05,12.06,12.09,12.23,12.38,12.26,12.34,12.42,12.44,12.52,12.53,12.5,-
Bank Persero - Investasi,10.91,10.96,10.98,11.04,11.13,11.2,11.4,11.43,11.44,11.48,11.48,11.47,-
Bank Persero - Konsumsi,11.91,11.91,11.9,11.93,12.06,12.21,12.19,12.22,12.26,12.32,12.48,12.56,-
Bank Pemerintah Daerah - Modal Kerja,13.34,13.34,13.36,13.3,13.19,13.24,13.27,13.21,13.24,13.72,13.84,13.63,-
Bank Pemerintah Daerah - Investasi,12.21,12.27,12.23,12.34,12.18,12.21,12.22,12.22,12.23,12.51,12.4,12.38,-
Bank Pemerintah Daerah - Konsumsi,13.35,13.42,13.34,13.35,13.19,13.19,13.22,13.21,13.21,13.34,13.4,13.43,-
Bank Swasta Nasional - Modal Kerja,12.68,12.86,12.87,12.79,13.19,13.29,13.36,13.43,13.43,13.39,13.41,13.36,-
Bank Swasta Nasional - Investasi,12.63,12.69,12.72,12.77,12.96,13.02,13.06,13.07,13.08,13.13,13.13,13.11,-
Bank Swasta Nasional - Konsumsi,12.97,13.04,13.11,13.19,13.18,13.12,13.17,13.2,13.28,13.3,13.35,13.39,-
Bank Asing dan Bank Campuran - Modal Kerja,9.96,10.09,10.2,10.19,10.25,10.27,10.41,10.44,10.44,10.49,10.41,10.49,-
Bank Asing dan Bank Campuran - Investasi,10.87,11.04,10.97,10.99,11.04,11,10.78,10.91,10.94,10.94,10.9,10.93,-
Bank Asing dan Bank Campuran - Konsumsi,27.37,27.4,27.68,27.59,27.72,27.84,28,27.59,27.91,27.6,28.32,28.41,-
Bank Umum - Modal Kerja,12.23,12.33,12.37,12.38,12.63,12.63,12.7,12.76,12.78,12.82,12.84,12.79,-
Bank Umum - Investasi,11.92,11.98,12,12.06,12.18,12.24,12.32,12.34,12.34,12.39,12.38,12.36,-
Bank Umum - Konsumsi,13.17,13.2,13.21,13.25,13.26,13.3,13.32,13.33,13.38,13.43,13.53,13.58,-
