Kelompok Bank,,,,,,,,,,,,,
,Suku Bunga Kredit Rupiah Menurut Kelompok Bank,,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bank Persero - Modal Kerja,8.37,8.31,8.29,8.21,8.21,8.14,8.21,8.22,8.25,8.25,8.31,8.29,-
Bank Persero - Investasi,8.47,8.55,8.48,8.5,8.48,8.45,8.4,8.44,8.43,8.52,8.59,8.72,-
Bank Persero - Konsumsi,9.7,9.69,9.65,9.62,9.58,9.53,9.5,9.46,9.43,9.75,9.69,9.65,-
Bank Pemerintah Daerah - Modal Kerja,9.14,9.13,9.27,9.25,9.15,9.04,9.14,9.03,8.97,8.98,8.96,8.85,-
Bank Pemerintah Daerah - Investasi,9.58,9.48,9.75,9.54,9.46,9.36,9.25,9.11,9.2,9.12,9.05,9.16,-
Bank Pemerintah Daerah - Konsumsi,10.78,10.74,11.01,10.97,10.94,10.88,10.85,10.8,10.76,10.73,10.69,10.64,-
Bank Swasta Nasional - Modal Kerja,9.27,9.23,9.18,9.05,9.05,8.98,8.96,8.91,8.94,9.19,9.15,9.17,-
Bank Swasta Nasional - Investasi,8.25,8.21,8.14,8.08,8.02,7.87,7.87,7.88,7.92,8,8.09,8.28,-
Bank Swasta Nasional - Konsumsi,10.25,10.23,10.22,10.27,10.31,10.32,10.31,10.35,10.41,10.5,10.52,10.54,-
Bank Asing dan Bank Campuran - Modal Kerja,5.67,5.69,5.74,5.64,5.54,5.52,5.47,5.68,5.87,6.22,6.45,6.55,-
Bank Asing dan Bank Campuran - Investasi,6.23,6.15,6.14,6.07,5.99,5.94,5.95,6.12,6.47,6.82,7.32,7.91,-
Bank Asing dan Bank Campuran - Konsumsi,23.08,23.2,23.17,23.33,23.33,23.22,23.36,22.83,23.67,23.84,23.85,23.12,-
Bank Umum - Modal Kerja,8.62,8.62,8.59,8.49,8.48,8.4,8.42,8.42,8.46,8.58,8.6,8.6,-
Bank Umum - Investasi,8.36,8.38,8.32,8.29,8.25,8.16,8.13,8.15,8.18,8.26,8.34,8.51,-
Bank Umum - Konsumsi,10.3,10.28,10.32,10.31,10.31,10.28,10.26,10.24,10.24,10.41,10.38,10.36,-
