Kelompok Bank,,,,,,,,,,,,,
,Suku Bunga Kredit Rupiah Menurut Kelompok Bank,,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bank Persero - Modal Kerja,8.92,8.93,8.94,8.92,8.96,8.9,8.86,8.83,8.81,8.8,8.74,8.67,-
Bank Persero - Investasi,9.44,9.46,9.47,9.47,9.46,9.45,9.4,9.36,9.29,9.21,9.18,9.21,-
Bank Persero - Konsumsi,9.24,9.21,9.13,9.1,9.07,9.04,8.99,8.98,8.97,8.94,9.11,9.09,-
Bank Pemerintah Daerah - Modal Kerja,8.97,9.01,8.99,9.01,9.03,9.01,9.02,9.06,11.83,9.05,9.03,8.9,-
Bank Pemerintah Daerah - Investasi,9.06,9.12,9.1,9.1,9.09,9.08,9.1,9.08,8.92,8.91,8.9,8.89,-
Bank Pemerintah Daerah - Konsumsi,10.41,10.41,10.39,10.38,10.38,10.38,10.38,10.37,10.38,10.38,10.37,10.37,-
Bank Swasta Nasional - Modal Kerja,9.06,8.98,8.92,8.97,8.96,8.93,8.93,8.9,8.84,8.8,8.78,8.77,-
Bank Swasta Nasional - Investasi,8.26,8.27,8.23,8.23,8.26,8.27,8.26,8.26,8.21,8.19,8.16,8.22,-
Bank Swasta Nasional - Konsumsi,10.96,10.94,10.88,10.87,10.88,10.94,10.95,10.98,10.97,10.95,11.41,11.44,-
Bank Asing dan Bank Campuran - Modal Kerja,6.9,6.9,6.94,7,7.09,7.11,7.11,7.12,7.05,6.9,6.88,6.73,-
Bank Asing dan Bank Campuran - Investasi,8.47,8.48,8.42,8.42,8.4,8.43,8.34,8.42,8.36,8.27,8.22,7.94,-
Bank Asing dan Bank Campuran - Konsumsi,22.38,22.58,22.34,22.63,22.83,22.89,23.29,22.41,28.67,28.98,29.25,29.44,-
Bank Umum - Modal Kerja,8.87,8.84,8.83,8.85,8.86,8.82,8.81,8.78,8.87,8.72,8.68,8.62,-
Bank Umum - Investasi,8.84,8.86,8.85,8.85,8.85,8.86,8.82,8.81,8.75,8.71,8.69,8.71,-
Bank Umum - Konsumsi,10.21,10.19,10.13,10.12,10.12,10.12,10.11,10.1,10.13,10.11,10.36,10.36,-
