Kelompok Bank,,,,,,,,,,,,,
,Suku Bunga Kredit Rupiah Menurut Kelompok Bank,,,,,,,,,,,,
,2018,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bank Persero - Modal Kerja,10.66,10.66,10.53,10.45,10.4,10.36,10.32,10.19,10.14,10.11,10.04,10,-
Bank Persero - Investasi,10.26,10.22,10.17,10.02,10.01,10.06,10.06,10.05,10.07,10.06,10.34,10.34,-
Bank Persero - Konsumsi,12.35,12.27,12.13,12.07,12.01,12,11.92,11.46,11.39,11.33,11.28,11.2,-
Bank Pemerintah Daerah - Modal Kerja,11.6,11.56,11.54,11.48,11.5,11.52,11.55,11.46,11.39,11.52,11.54,11.23,-
Bank Pemerintah Daerah - Investasi,11.58,11.23,11.32,11.3,11.25,11.25,11.21,11.19,11.17,11.21,11.17,11.05,-
Bank Pemerintah Daerah - Konsumsi,12.77,12.75,12.67,12.63,12.59,12.56,12.53,12.48,12.42,12.36,12.3,12.21,-
Bank Swasta Nasional - Modal Kerja,11.12,11.06,10.99,10.94,10.9,10.88,11,10.95,11.24,10.97,11.02,10.95,-
Bank Swasta Nasional - Investasi,10.81,10.72,10.69,10.65,10.63,10.67,10.64,10.66,11.02,10.67,10.69,10.67,-
Bank Swasta Nasional - Konsumsi,12.13,12.06,11.95,11.9,11.84,11.79,11.63,11.56,11.52,11.41,11.44,11.41,-
Bank Asing dan Bank Campuran - Modal Kerja,7.83,7.77,7.71,7.77,8.03,8.29,8.47,8.61,8.65,8.79,8.98,8.04,-
Bank Asing dan Bank Campuran - Investasi,8.75,8.67,8.58,8.64,8.87,9.31,9.59,9.66,9.71,9.78,9.85,7.56,-
Bank Asing dan Bank Campuran - Konsumsi,24.96,25.07,24.94,24.62,24.5,24.17,24.12,24.12,24.01,24,23.96,23.87,-
Bank Umum - Modal Kerja,10.72,10.69,10.59,10.53,10.51,10.49,10.55,10.48,10.59,10.47,10.48,10.34,-
Bank Umum - Investasi,10.51,10.43,10.38,10.3,10.29,10.35,10.36,10.37,10.54,10.38,10.51,10.38,-
Bank Umum - Konsumsi,12.64,12.6,12.48,12.4,12.34,12.3,12.2,11.96,11.9,11.83,11.8,11.73,-
