Kelompok Bank,,,,,,,,,,,,,
,Suku Bunga Kredit Rupiah Menurut Kelompok Bank,,,,,,,,,,,,
,2016,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bank Persero - Modal Kerja,12.26,12.16,12.05,11.83,11.68,11.52,11.44,11.36,11.19,11.15,11.09,10.83,-
Bank Persero - Investasi,11.34,11.27,11.18,11.04,10.99,10.89,10.84,10.81,10.72,10.71,10.63,10.42,-
Bank Persero - Konsumsi,13.17,13.21,13.2,13.24,13.28,13.22,13.22,13.21,13.18,13.13,13.09,13.07,-
Bank Pemerintah Daerah - Modal Kerja,13.46,13.22,13.14,13.12,12.62,12.8,12.78,12.75,12.76,12.69,12.65,12.59,-
Bank Pemerintah Daerah - Investasi,12.18,12.17,12.16,12.09,11.81,11.77,11.63,11.61,11.76,11.6,11.42,11.49,-
Bank Pemerintah Daerah - Konsumsi,13.5,13.5,13.5,13.46,13.2,13.24,13.23,13.19,13.17,13.15,13.12,13.15,-
Bank Swasta Nasional - Modal Kerja,12.88,12.88,12.81,12.73,12.58,12.43,12.4,12.38,12.31,12.31,12.22,12.1,-
Bank Swasta Nasional - Investasi,12.48,12.49,12.4,12.32,12.18,12.08,12.04,12.02,11.97,11.98,12.05,11.94,-
Bank Swasta Nasional - Konsumsi,13.7,13.65,13.61,13.59,13.58,13.57,13.56,13.42,13.4,13.38,13.35,13.26,-
Bank Asing dan Bank Campuran - Modal Kerja,10.71,10.51,10.06,9.9,9.75,9.64,9.61,9.44,9.35,9.27,9.21,9.22,-
Bank Asing dan Bank Campuran - Investasi,11.25,11.12,10.83,10.52,10.34,10.28,10.35,10.37,10.29,10.16,10.12,10.32,-
Bank Asing dan Bank Campuran - Konsumsi,28.94,28.93,29.23,29.26,29.25,29.36,29.15,28.69,28.76,28.63,28.51,28.41,-
Bank Umum - Modal Kerja,12.46,12.4,12.28,12.14,11.97,11.82,11.78,11.73,11.61,11.59,11.52,11.35,-
Bank Umum - Investasi,11.96,11.93,11.83,11.71,11.6,11.49,11.45,11.42,11.36,11.34,11.33,11.2,-
Bank Umum - Konsumsi,13.94,13.93,13.91,13.91,13.86,13.83,13.82,13.74,13.72,13.68,13.65,13.61,-
