Kelompok Bank,,,,,,,,,,,,,
,Suku Bunga Kredit Rupiah Menurut Kelompok Bank,,,,,,,,,,,,
,2020,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bank Persero - Modal Kerja,9.77,9.75,9.7,9.38,9.18,9.14,9.09,9.06,9.03,8.99,8.94,8.77,-
Bank Persero - Investasi,9.7,9.66,9.57,9.26,9.12,9.12,9.08,9.06,8.97,8.95,8.94,8.87,-
Bank Persero - Konsumsi,11.04,11.02,10.99,10.92,10.78,10.75,10.73,10.7,10.67,10.64,10.59,10.56,-
Bank Pemerintah Daerah - Modal Kerja,10.76,10.77,10.75,10.75,10.64,10.58,10.55,10.54,10.48,10.44,10.41,10.22,-
Bank Pemerintah Daerah - Investasi,11.02,10.98,10.9,10.87,10.73,10.66,10.62,10.57,10.36,10.27,10.29,10.4,-
Bank Pemerintah Daerah - Konsumsi,11.73,11.72,11.69,11.67,11.72,11.69,11.68,11.66,11.61,11.58,11.52,11.48,-
Bank Swasta Nasional - Modal Kerja,10.59,10.48,10.36,10.14,10.04,9.85,9.87,9.85,9.87,9.83,9.73,9.7,-
Bank Swasta Nasional - Investasi,10.02,9.98,9.81,9.57,9.43,9.42,9.28,9.2,9.11,9.03,8.93,8.81,-
Bank Swasta Nasional - Konsumsi,11.1,11.06,11.01,10.91,10.86,10.83,10.78,10.77,10.75,10.69,10.66,10.65,-
Bank Asing dan Bank Campuran - Modal Kerja,7.79,7.72,7.57,7.64,7.59,7.51,7.44,7.3,7.17,7.03,6.95,6.76,-
Bank Asing dan Bank Campuran - Investasi,8.79,8.76,8.52,8.44,8.39,8.24,8.08,8,7.58,7.51,7.43,7.24,-
Bank Asing dan Bank Campuran - Konsumsi,22.85,22.87,22.79,22.17,22.24,22.39,22.3,22.24,22.16,22.09,22.05,22.07,-
Bank Umum - Modal Kerja,10.08,10.01,9.91,9.68,9.55,9.43,9.41,9.38,9.37,9.32,9.26,9.15,-
Bank Umum - Investasi,9.87,9.83,9.7,9.45,9.32,9.3,9.21,9.16,9.06,9.01,8.98,8.88,-
Bank Umum - Konsumsi,11.43,11.41,11.37,11.29,11.22,11.2,11.16,11.13,11.1,11.05,11.01,10.97,-
