Kelompok Bank,,,,,,,,,,,,,
,Suku Bunga Kredit Rupiah Menurut Kelompok Bank,,,,,,,,,,,,
,2019,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bank Persero - Modal Kerja,10.2,10.21,10.19,10.19,10.08,10.01,10.01,9.99,9.88,9.85,9.8,9.72,-
Bank Persero - Investasi,10.13,10.11,10.11,10.07,10.04,10.03,10.02,9.96,9.91,9.88,9.83,9.75,-
Bank Persero - Konsumsi,11.2,11.17,11.13,11.12,11.09,11.09,11.09,11.12,11.11,11.09,11.07,11.44,-
Bank Pemerintah Daerah - Modal Kerja,11.19,11.23,11.12,11.15,11.23,11.23,11.29,11.27,11.27,11.24,11.14,10.8,-
Bank Pemerintah Daerah - Investasi,11,10.99,11.06,11.1,11.07,11.05,10.94,11,10.91,11.15,11.09,11.04,-
Bank Pemerintah Daerah - Konsumsi,12.19,12.15,12.04,12.06,12.01,11.98,11.95,11.91,11.86,11.83,11.8,11.75,-
Bank Swasta Nasional - Modal Kerja,10.99,10.98,10.94,10.94,10.91,10.9,10.89,10.86,10.85,10.76,10.75,10.54,-
Bank Swasta Nasional - Investasi,10.6,10.56,10.52,10.49,10.45,10.41,10.4,10.34,10.3,10.16,10.17,10.02,-
Bank Swasta Nasional - Konsumsi,11.35,11.32,11.32,11.3,11.26,11.26,11.24,11.22,11.22,11.18,11.18,11.1,-
Bank Asing dan Bank Campuran - Modal Kerja,9.07,9.07,9.03,8.96,8.84,8.8,8.67,8.57,8.27,8.16,8.05,7.83,-
Bank Asing dan Bank Campuran - Investasi,9.94,9.97,9.85,9.81,9.77,9.75,9.57,9.44,9.23,9.16,9.04,8.83,-
Bank Asing dan Bank Campuran - Konsumsi,24.3,24.23,24.07,23.94,23.33,23.3,23.34,23.2,23.24,23.21,23.32,22.91,-
Bank Umum - Modal Kerja,10.52,10.55,10.51,10.5,10.43,10.39,10.39,10.36,10.29,10.22,10.2,10.03,-
Bank Umum - Investasi,10.38,10.36,10.34,10.31,10.26,10.24,10.22,10.16,10.11,10.04,10.02,9.9,-
Bank Umum - Konsumsi,11.72,11.68,11.64,11.62,11.57,11.57,11.55,11.55,11.53,11.51,11.49,11.62,-
