Kelompok Bank,,,,,,,,,,,,,
,Suku Bunga Kredit Rupiah Menurut Kelompok Bank,,,,,,,,,,,,
,2011,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bank Persero - Modal Kerja,13.02,12.99,11.68,11.65,11.59,11.52,12.62,12.61,12.51,12.47,12.41,12.37,12.37
Bank Persero - Investasi,10.71,10.67,10.61,10.61,10.59,10.6,10.6,10.56,10.57,10.53,10.49,10.39,10.39
Bank Persero - Konsumsi,13.08,13.13,13.84,13.92,13.8,13.82,13.05,12.99,12.97,13,13.01,12.91,12.91
Bank Pemerintah Daerah - Modal Kerja,13.54,13.58,13.56,13.52,13.59,13.57,13.64,13.64,13.7,13.77,13.73,13.52,13.52
Bank Pemerintah Daerah - Investasi,12.44,12.47,12.5,12.49,12.54,12.55,12.52,12.52,12.54,12.55,12.48,12.4,12.4
Bank Pemerintah Daerah - Konsumsi,14.01,13.94,13.91,13.91,13.94,13.95,13.97,14.01,14.03,14.02,14.03,13.91,13.91
Bank Swasta Nasional - Modal Kerja,13,12.95,12.96,12.9,12.82,12.81,12.8,12.75,12.63,12.61,12.56,12.34,12.34
Bank Swasta Nasional - Investasi,13.21,13.11,13.03,13.02,13.01,12.97,12.96,12.94,12.89,12.81,12.76,12.64,12.64
Bank Swasta Nasional - Konsumsi,13.92,13.96,13.87,13.84,13.85,13.83,13.78,13.78,13.71,13.63,13.56,13.58,13.58
Bank Asing dan Bank Campuran - Modal Kerja,9.44,9.34,9.45,9.46,9.42,9.55,9.55,9.34,9.14,9.03,8.86,8.71,8.71
Bank Asing dan Bank Campuran - Investasi,10.56,10.79,10.96,10.64,10.64,10.65,10.47,10.56,10.11,10.2,10.06,14.89,14.89
Bank Asing dan Bank Campuran - Konsumsi,31.8,31.81,31.59,30.79,30.85,30.88,30.97,30.76,30.59,30.56,30.43,30.73,30.73
Bank Umum - Modal Kerja,12.75,12.72,12.32,12.3,12.24,12.24,12.55,12.5,12.39,12.36,12.31,12.16,12.16
Bank Umum - Investasi,12.25,12.2,12.18,12.16,12.16,12.13,12.11,12.1,12.06,12.02,11.97,12.04,12.04
Bank Umum - Konsumsi,14.48,14.5,14.83,14.81,14.79,14.78,14.32,14.3,14.25,14.21,14.18,14.15,14.15
