Kelompok Bank,,,,,,,,,,,,,
,Suku Bunga Kredit Rupiah Menurut Kelompok Bank,,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bank Persero - Modal Kerja,8.08,8.09,8.03,-,-,-,-,-,-,-,-,-,-
Bank Persero - Investasi,8.32,8.28,8.21,-,-,-,-,-,-,-,-,-,-
Bank Persero - Konsumsi,8.96,8.95,8.93,-,-,-,-,-,-,-,-,-,-
Bank Pemerintah Daerah - Modal Kerja,8.27,8.21,8.14,-,-,-,-,-,-,-,-,-,-
Bank Pemerintah Daerah - Investasi,8.73,8.72,8.81,-,-,-,-,-,-,-,-,-,-
Bank Pemerintah Daerah - Konsumsi,10.36,10.35,10.35,-,-,-,-,-,-,-,-,-,-
Bank Swasta Nasional - Modal Kerja,8.18,8.15,8.08,-,-,-,-,-,-,-,-,-,-
Bank Swasta Nasional - Investasi,7.45,7.41,7.41,-,-,-,-,-,-,-,-,-,-
Bank Swasta Nasional - Konsumsi,12.07,12.12,12.11,-,-,-,-,-,-,-,-,-,-
Bank Asing dan Bank Campuran - Modal Kerja,5.57,5.59,5.67,-,-,-,-,-,-,-,-,-,-
Bank Asing dan Bank Campuran - Investasi,7.1,7.09,6.97,-,-,-,-,-,-,-,-,-,-
Bank Asing dan Bank Campuran - Konsumsi,37.88,36.75,36.52,-,-,-,-,-,-,-,-,-,-
Bank Umum - Modal Kerja,8.06,8.05,8,-,-,-,-,-,-,-,-,-,-
Bank Umum - Investasi,7.97,7.93,7.9,-,-,-,-,-,-,-,-,-,-
Bank Umum - Konsumsi,10.53,10.55,10.53,-,-,-,-,-,-,-,-,-,-
