Kelompok Bank,,,,,,,,,,,,,
,Suku Bunga Kredit Rupiah Menurut Kelompok Bank,,,,,,,,,,,,
,2015,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bank Persero - Modal Kerja,12.52,12.55,12.65,12.64,12.61,12.6,12.54,12.59,12.48,12.43,12.36,12.3,-
Bank Persero - Investasi,11.47,11.45,11.49,11.45,11.45,11.46,11.46,11.45,11.44,11.42,11.4,11.35,-
Bank Persero - Konsumsi,12.64,12.68,12.67,12.72,12.74,12.84,12.91,12.99,13.03,13.06,13.08,13.08,-
Bank Pemerintah Daerah - Modal Kerja,13.56,13.38,13.71,13.71,13.72,13.74,13.56,13.47,13.47,13.45,13.66,13.5,-
Bank Pemerintah Daerah - Investasi,12.25,12.13,12.37,12.36,12.38,12.39,12.18,12.45,12.52,12.25,12.44,12.19,-
Bank Pemerintah Daerah - Konsumsi,13.4,13.47,13.49,13.48,13.49,13.49,13.3,13.5,13.5,13.3,13.49,13.49,-
Bank Swasta Nasional - Modal Kerja,13.31,13.29,13.36,13.25,13.2,13.17,13.14,13.03,13,12.98,12.92,12.82,-
Bank Swasta Nasional - Investasi,13.02,13.03,13.06,13.06,13.02,13.02,12.98,12.87,12.83,12.85,12.77,12.77,-
Bank Swasta Nasional - Konsumsi,13.45,13.51,13.52,13.58,13.62,13.67,13.65,13.56,13.61,13.69,13.68,13.66,-
Bank Asing dan Bank Campuran - Modal Kerja,10.39,10.26,10.26,10.23,10.21,10.18,10.28,10.3,10.51,10.72,10.79,10.79,-
Bank Asing dan Bank Campuran - Investasi,10.59,10.51,10.47,10.77,10.75,10.6,10.68,10.67,10.78,10.95,11.13,11.25,-
Bank Asing dan Bank Campuran - Konsumsi,28.46,28.59,28.62,28.79,28.97,29.13,28.4,28.95,29.05,28.94,28.87,28.93,-
Bank Umum - Modal Kerja,12.76,12.74,12.82,12.75,12.72,12.7,12.65,12.63,12.58,12.58,12.55,12.46,-
Bank Umum - Investasi,12.29,12.27,12.32,12.32,12.3,12.29,12.26,12.21,12.19,12.19,12.14,12.12,-
Bank Umum - Konsumsi,13.62,13.68,13.68,13.73,13.76,13.82,13.73,13.82,13.85,13.85,13.89,13.88,-
