Kelompok Bank,,,,,,,,,,,,,
,Suku Bunga Kredit Rupiah Menurut Kelompok Bank,,,,,,,,,,,,
,2017,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bank Persero - Modal Kerja,10.89,10.86,10.78,10.89,10.87,10.81,10.82,10.81,10.77,10.76,10.69,10.54,-
Bank Persero - Investasi,10.45,10.4,10.36,10.55,10.48,10.48,10.46,10.45,10.42,10.38,10.34,10.29,-
Bank Persero - Konsumsi,13.06,13.04,12.97,13.05,12.87,12.78,12.77,12.72,12.67,12.61,12.53,12.35,-
Bank Pemerintah Daerah - Modal Kerja,12.48,12.32,12.17,12.14,12.32,11.97,12,12.02,12.11,12,11.95,11.74,-
Bank Pemerintah Daerah - Investasi,11.46,11.48,11.47,11.42,10.43,10.51,11.35,11.31,11.63,11.54,11.5,11.39,-
Bank Pemerintah Daerah - Konsumsi,13.1,13.1,13.06,13.04,13.01,12.98,12.96,12.94,12.93,12.88,12.83,12.77,-
Bank Swasta Nasional - Modal Kerja,12.07,11.96,11.91,11.82,11.73,11.7,11.6,11.62,11.5,11.44,11.34,11.12,-
Bank Swasta Nasional - Investasi,11.88,11.78,11.74,11.65,11.52,11.58,11.48,11.37,11.23,11.2,11.03,10.89,-
Bank Swasta Nasional - Konsumsi,13.24,13.2,13.1,13.2,13.12,12.95,12.83,12.61,12.53,12.41,12.24,12.17,-
Bank Asing dan Bank Campuran - Modal Kerja,9.04,8.95,8.88,8.74,8.66,8.77,8.61,8.48,8.27,8.05,7.97,7.83,-
Bank Asing dan Bank Campuran - Investasi,10.03,9.91,9.83,9.82,9.85,9.91,9.87,9.82,9.5,9.12,8.95,8.84,-
Bank Asing dan Bank Campuran - Konsumsi,28.19,28.03,27.85,27.85,27.86,25.58,25.3,25.13,25.16,25.66,25.08,24.9,-
Bank Umum - Modal Kerja,11.34,11.26,11.19,11.2,11.15,11.12,11.07,11.07,10.99,10.94,10.87,10.68,-
Bank Umum - Investasi,11.17,11.1,11.05,11.1,10.96,11,10.97,10.91,10.83,10.78,10.66,10.56,-
Bank Umum - Konsumsi,13.58,13.56,13.48,13.48,13.37,13.21,13.14,13.03,12.97,12.91,12.78,12.66,-
